tree,real_lambda_1,est_lambda_1,abs_diff_lambda_1,rel_diff_lambda_1,real_psi_1,est_psi_1,abs_diff_psi_1,rel_diff_psi_1,real_rho_1,est_rho_1,abs_diff_rho_1,rel_diff_rho_1,real_R0_1,est_R0_1,abs_diff_R0_1,rel_diff_R0_1,real_infectious_time_1,est_infectious_time_1,abs_diff_infectious_time_1,rel_diff_infectious_time_1,real_lambda_2,est_lambda_2,real_psi_2,est_psi_2,real_rho_2,est_rho_2,real_R0_2,est_R0_2,real_infectious_time_2,est_infectious_time_2,real_t_1,est_t_1,abs_diff_lambda_2,rel_diff_lambda_2,abs_diff_psi_2,rel_diff_psi_2,abs_diff_rho_2,rel_diff_rho_2,abs_diff_R0_2,rel_diff_R0_2,abs_diff_infectious_time_2,rel_diff_infectious_time_2,abs_diff_t_1,rel_diff_t_1
10,0.0693922,0.08208755278315646,0.012695352783156463,18.295071756128877,0.0516358,0.1,0.0483642,93.6640857699503,0.503124,0.5031243718046713,3.7180467127306827e-07,3.7180467127306827e-05,1.34388,0.8208755278315646,-0.5230044721684354,-38.91749800342556,19.3664,10.0,-9.366399999999999,-48.364177131526766,0.436907,0.49053432367505406,0.0853238,0.1,0.544709,0.5447092203070619,5.12057,4.90534323675054,11.7201,10.0,256.36,256.36,0.05362732367505407,12.274310934604864,0.0146762,17.200593503805504,2.2030706192666116e-07,2.2030706192666116e-05,-0.21522676324945955,-4.203179787591217,-1.7201000000000004,-14.676495934335035,0.0,0.0
11,0.733873,0.6849705131731996,-0.04890248682680043,-6.663617114514422,0.17674,0.18745257293472087,0.01071257293472086,6.0612045573842135,0.54543,0.545430222646997,2.226469970612044e-07,2.226469970612044e-05,4.15228,3.6541003542892745,-0.4981796457107257,-11.99773728435283,5.65804,5.334682711174327,-0.3233572888256724,-5.7150053521302855,,,,,,,,,,,14.7455,,,,,,,,,,,,,
12,0.305881,0.2771781715441352,-0.028702828455864804,-9.383658499829934,0.0551519,0.1,0.04484810000000001,81.31741608176692,0.70796,0.7079600318918882,3.189188813035315e-08,3.189188813035315e-06,5.54617,2.7717817154413518,-2.7743882845586483,-50.02349882096381,18.1317,10.0,-8.131699999999999,-44.847973438784,1.3316,1.92966082401398,0.142321,0.949290398519644,0.505311,0.5053112303680188,9.35632,2.0327402731800084,7.02637,1.053418428712051,29.6843,29.6843,0.5980608240139802,44.91294863427308,0.806969398519644,100.0,2.303680188830981e-07,2.303680188830981e-05,-7.323579726819991,-78.27414760097979,-5.972951571287949,-85.00764365224074,0.0,0.0
13,0.150805,0.16761923329668768,0.016814233296687686,11.149652396596723,0.050328,0.1,0.04967200000000001,98.69655062788112,0.576016,0.5760155789631501,-4.2103684982919276e-07,-4.2103684982919276e-05,2.99644,1.6761923329668766,-1.3202476670331236,-44.060540742785555,19.8697,10.0,-9.869700000000002,-49.672113821547384,0.763433,0.7210324569918811,0.0983762,0.2825641785922253,0.716981,0.7169805927560433,7.76035,2.5517475731855566,10.1651,3.5390190114760522,64.1806,64.1806,-0.04240054300811891,-5.5539311253402595,0.18418797859222533,100.0,-4.072439566682462e-07,-4.072439566682462e-05,-5.208602426814443,-67.11813805839225,-6.626080988523949,-65.1846119420758,0.0,0.0
14,0.355445,0.2996603719967427,-0.055784628003257286,-15.694306574366578,0.143703,0.11037138804294792,-0.033331611957052074,-23.194792006466166,0.458152,0.4581517134773483,-2.865226517156927e-07,-2.865226517156927e-05,2.47348,2.715018605004209,0.2415386050042092,9.765132728148568,6.95882,9.060319143679502,2.1014991436795016,30.19907317159377,0.440416,0.5817549360198402,0.151157,0.17703244083828976,0.311494,0.3114937598483149,2.91364,3.2861487604480586,6.61565,5.648682214766783,25.7653,25.7653,0.1413389360198402,32.09214379582945,0.025875440838289743,17.118255084640303,-2.4015168509361473e-07,-2.4015168509361473e-05,0.3725087604480586,12.784996102746343,-0.9669677852332166,-14.616368538740964,0.0,0.0
15,0.768716,0.7564876891525111,-0.012228310847488877,-1.5907449366851838,0.104901,0.11247869085054422,0.00757769085054423,7.223659307865732,0.331037,0.3310374425760992,4.425760991577654e-07,4.425760991577654e-05,7.32801,6.725608943632641,-0.6024010563673592,-8.220527214992327,9.53279,8.890572893747025,-0.6422171062529749,-6.736927030313003,,,,,,,,,,,12.9234,,,,,,,,,,,,,
16,0.521087,0.3837670815731683,-0.13731991842683167,-26.35258957272618,0.0665885,0.1,0.03341150000000001,50.176081455506605,0.376107,0.3761072891546555,2.8915465549728125e-07,2.8915465549728125e-05,7.82548,3.837670815731683,-3.987809184268317,-50.959291752944445,15.0176,10.0,-5.0176,-33.41146388237801,0.220342,0.2556677071313479,0.0550757,0.3228993703347824,0.705197,0.7051974784687776,4.00071,0.7917875679542867,18.1568,3.0969400744361906,22.0536,22.0536,0.03532570713134789,16.032216795412534,0.2678236703347824,100.0,4.784687775982732e-07,4.784687775982732e-05,-3.2089224320457133,-80.2088237349299,-15.05985992556381,-82.94335965348415,0.0,0.0
17,1.2526,1.291010211739674,0.03841021173967407,3.066438746581037,0.176658,0.16651869084211804,-0.01013930915788197,-5.73951315982405,0.619472,0.6194721082498404,1.0824984042479002e-07,1.0824984042479002e-05,7.09051,7.7529447608,0.6624347608000001,9.342554496079973,5.66064,6.005331863605231,0.34469186360523096,6.089273714725383,,,,,,,,,,,8.22683,,,,,,,,,,,,,
18,0.579347,0.3345552932733137,-0.24479170672668626,-42.25303776953817,0.0762433,0.33051509361703535,0.25427179361703534,100.0,0.55825,0.5582498495119347,-1.5048806534245784e-07,-1.5048806534245784e-05,7.59867,1.0122239490247296,-6.586446050975271,-86.67893264183431,13.1159,3.025580432821898,-10.090319567178103,-76.9319647693113,0.787433,7.402412314596781,0.378843,10.0,0.216723,0.21672332424758606,2.07852,0.740241231459678,2.63961,0.1,17.0437,17.0437,6.614979314596781,100.0,9.621157,100.0,3.242475860587568e-07,3.242475860587568e-05,-1.3382787685403221,-64.38613862461376,-2.5396099999999997,-96.21156155644205,0.0,0.0
19,0.431304,0.4118290395403512,-0.019474960459648805,-4.5153674576745875,0.0626313,0.1,0.037368700000000005,59.664576657358225,0.329699,0.32969897028596185,-2.9714038174422086e-08,-2.9714038174422086e-06,6.8864,4.118290395403512,-2.7681096045964884,-40.19675889574362,15.9665,10.0,-5.9665,-37.36886606332008,,,,,,,,,,,28.417,,,,,,,,,,,,,
20,1.06737,1.0686340237691156,0.0012640237691157186,0.1184241424356801,0.201951,0.1,-0.10195099999999999,-50.483037964654784,0.142617,0.14261650341498383,-4.965850161631202e-07,-4.965850161631202e-05,5.28531,10.686340237691155,5.401030237691155,100.0,4.9517,10.0,5.0483,100.0,0.706465,0.6532410982381117,0.093611,0.5866953314801869,0.714593,0.7145928184609195,7.54681,1.1134247422593853,10.6825,1.7044621737096106,10.5096,10.5096,-0.05322390176188829,-7.533834197290494,0.49308433148018693,100.0,-1.8153908054596712e-07,-1.8153908054596712e-05,-6.433385257740614,-85.24641878807886,-8.97803782629039,-84.04435128752998,0.0,0.0
21,0.257398,0.21297112028420792,-0.044426879715792095,-17.259994139733834,0.0512383,0.1024561185103987,0.051217818510398694,99.96002699230594,0.435729,0.43572932400180736,3.240018073835671e-07,3.240018073835671e-05,5.02355,2.078656925331332,-2.944893074668668,-58.621753036571114,19.5166,9.760276053191552,-9.756323946808449,-49.989875013109085,0.12524,0.13139003008790376,0.0621675,0.1,0.424467,0.42446667233693613,2.01456,1.3139003008790375,16.0856,10.0,32.5584,32.5584,0.006150030087903768,4.910595726528081,0.037832500000000005,60.855752603852494,-3.2766306384823807e-07,-3.276630638482381e-05,-0.7006596991209624,-34.779788098689664,-6.0855999999999995,-37.832595613467944,0.0,0.0
