	data_type	type	sampled_tips	lambda	lambda_min	lambda_max	psi	psi_min	psi_max	upsilon	upsilon_min	upsilon_max	phi	phi_min	phi_max	p	p_min	p_max
74.tree	tree	bdct		1.46836	1.39671	1.54454	0.724497	0.639005	0.815983	0.580062	0.530213	0.630094	100.5	88.6955	113.566	0.0654518	0.0654518	0.0654518
74.tree	tree	bd		2.61212	2.4859	2.74338	2.12386	1.98289	2.26946	0			2.12386			0.0654518	0.0654518	0.0654518
74.tree	tree	real	770	1.192931676213525			0.2756015131553536			0.587508707153161			94.89523097179139			0.0654518146914827		
75.tree	tree	real	531	0.42896186279312787			0.27997333342126823			0.7350459643728297			118.14654401852752			0.4301410138004491		
75.tree	tree	bdct		0.467929	0.433274	0.505105	0.348159	0.315613	0.38248	0.635514	0.573452	0.696024	104.286	89.1402	121.296	0.430141	0.430141	0.430141
75.tree	tree	bd		0.577213	0.536698	0.61915	0.549859	0.509659	0.591798	0			0.549859			0.430141	0.430141	0.430141
76.tree	tree	bd		1.82888	1.75034	1.91074	1.1475	1.06129	1.23704	0			1.1475			0.19225	0.19225	0.19225
76.tree	tree	real	878	1.1883588836934635			0.16414882927000274			0.5039535342432658			37.36055043557853			0.1922501913681382		
76.tree	tree	bdct		1.32184	1.26122	1.38375	0.432719	0.377068	0.492775	0.576594	0.529295	0.623731	44.2158	39.3069	49.6365	0.19225	0.19225	0.19225
77.tree	tree	bdct		0.271185	0.256937	0.28644	0.0664037	0.0556734	0.0788007	0.110326	0.0810208	0.14421	22.3459	15.9836	30.8894	0.378993	0.378993	0.378993
77.tree	tree	bd		0.27773	0.263678	0.292031	0.0843554	0.0726335	0.0977057	0			0.0843554			0.378993	0.378993	0.378993
77.tree	tree	real	560	0.26420212170247687			0.0745939045667938			0.0797192082169857			28.077600065315057			0.3789932888519881		
78.tree	tree	real	883	1.157686337899322			0.1354995594850839			0.6600321636818433			43.57399282748728			0.5430437291420749		
78.tree	tree	bdct		1.2682	1.1989	1.33964	0.354381	0.307447	0.405861	0.66012	0.608548	0.710571	46.4161	41.4202	51.9085	0.543044	0.543044	0.543044
78.tree	tree	bd		1.51707	1.44378	1.59229	0.743164	0.675035	0.814636	0			0.743164			0.543044	0.543044	0.543044
79.tree	tree	bd		0.386765	0.364915	0.409645	0.266185	0.24236	0.291928	0			0.266185			0.162905	0.162905	0.162905
79.tree	tree	real	541	0.28406962322199386			0.12088859482695716			0.3968896481331644			14.425602864199492			0.1629051903240591		
79.tree	tree	bdct		0.298523	0.281671	0.316638	0.143631	0.124131	0.164609	0.401535	0.34899	0.455887	16.0738	13.4771	19.0269	0.162905	0.162905	0.162905
80.tree	tree	real	899	1.10484942066311			0.12071492670777124			0.7417587692997659			12.547713785676617			0.7367176512950252		
80.tree	tree	bdct		1.13311	1.06678	1.20265	0.45721	0.40553	0.512498	0.661169	0.601767	0.718744	14.5096	12.7323	16.5445	0.736718	0.736718	0.736718
80.tree	tree	bd		1.27491	1.20524	1.3473	0.808606	0.743934	0.877215	0			0.808606			0.736718	0.736718	0.736718
81.tree	tree	real	530	0.5544400537826031			0.057833193786900994			0.1247670347704059			6.255416247782847			0.419851900513628		
81.tree	tree	bdct		0.569816	0.538153	0.603175	0.0672125	0.0532458	0.0834239	0.123929	0.0871378	0.16585	9.4668	6.21928	14.3301	0.419852	0.419852	0.419852
81.tree	tree	bd		0.567261	0.537399	0.597761	0.0949263	0.0780489	0.113998	0			0.0949263			0.419852	0.419852	0.419852
82.tree	tree	bdct		0.431573	0.408026	0.455405	0.0723163	0.0606159	0.0856667	0.205291	0.162789	0.25108	5.45757	4.18468	7.18422	0.733104	0.733104	0.733104
82.tree	tree	real	794	0.42940855942543993			0.06261716430850649			0.2100642701183348			3.8691169788313475			0.7331036158714699		
82.tree	tree	bd		0.434361	0.411508	0.457239	0.105872	0.0919437	0.121129	0			0.105872			0.733104	0.733104	0.733104
83.tree	tree	bdct		0.222876	0.212476	0.233364	0.0941489	0.0839607	0.104638	0.605446	0.561693	0.6486	17.7941	15.9229	19.8401	0.228281	0.228281	0.228281
83.tree	tree	real	1000	0.2048936628947067			0.050394865064134785			0.5916264291754812			15.723153935054198			0.2282808217027876		
83.tree	tree	bd		0.313511	0.300082	0.327811	0.218772	0.204311	0.234027	0			0.218772			0.228281	0.228281	0.228281
84.tree	tree	real	979	0.3970176408197474			0.07896136956517295			0.0333851866685375			30.91840277827894			0.6418456786455302		
84.tree	tree	bd		0.394105	0.376446	0.412217	0.0869337	0.076192	0.0983768	0			0.0869337			0.641846	0.641846	0.641846
84.tree	tree	bdct		0.394292	0.376625	0.412405	0.079737	0.0698949	0.0911802	0.0391095	0.0244438	0.0560002	43.6426	21.5954	79.8343	0.641846	0.641846	0.641846
85.tree	tree	bdct		0.791338	0.752747	0.83136	0.269853	0.236246	0.306083	0.267256	0.229151	0.308044	46.3118	38.1204	55.9371	0.379968	0.379968	0.379968
85.tree	tree	bd		0.866173	0.825618	0.908098	0.41317	0.372919	0.456068	0			0.41317			0.379968	0.379968	0.379968
85.tree	tree	real	767	0.7855189163455176			0.21463581635140222			0.2421479625073573			49.417023102769775			0.3799675441364753		
86.tree	tree	real	721	0.6327285444529046			0.09556113816351813			0.5868957532574374			47.14181195586826			0.3358717291919067		
86.tree	tree	bdct		0.672508	0.634473	0.711582	0.253238	0.219738	0.289469	0.645506	0.592554	0.697434	53.1373	46.8764	60.0768	0.335872	0.335872	0.335872
86.tree	tree	bd		0.891163	0.84509	0.938804	0.570769	0.522918	0.621285	0			0.570769			0.335872	0.335872	0.335872
87.tree	tree	bdct		0.625645	0.599415	0.652331	0.144882	0.12521	0.166813	0.433695	0.393036	0.47462	36.6593	32.3209	41.472	0.252567	0.252567	0.252567
87.tree	tree	bd		0.739468	0.710622	0.76901	0.339213	0.308166	0.371627	0			0.339213			0.252567	0.252567	0.252567
87.tree	tree	real	940	0.6156979616590863			0.09177610723275907			0.3633025658323492			33.40395040028784			0.2525673504514669		
88.tree	tree	real	961	0.16466982407281466			0.05025162877447328			0.7006473336150947			6.989874776826082			0.4053847593465666		
88.tree	tree	bd		0.237894	0.225864	0.250288	0.178625	0.166136	0.191021	0			0.178625			0.405385	0.405385	0.405385
88.tree	tree	bdct		0.183044	0.173088	0.193532	0.0879761	0.0784631	0.097512	0.696029	0.648449	0.741744	7.44789	6.6752	8.29631	0.405385	0.405385	0.405385
89.tree	tree	real	662	0.7816328816004471			0.1518797079662332			0.2895584673463913			25.812093783468207			0.648900524391817		
89.tree	tree	bdct		0.819512	0.769953	0.870015	0.215832	0.183104	0.252064	0.30692	0.260763	0.355653	32.3285	26.3194	39.691	0.648901	0.648901	0.648901
89.tree	tree	bd		0.875173	0.825659	0.926626	0.340456	0.300676	0.383356	0			0.340456			0.648901	0.648901	0.648901
90.tree	tree	bd		0.203106	0.190474	0.216454	0.141332	0.128724	0.154681	0			0.141332			0.437991	0.437991	0.437991
90.tree	tree	real	590	0.16509457472643652			0.05696712461112805			0.5157779388945019			13.066542763424472			0.4379905753425844		
90.tree	tree	bdct		0.166233	0.15526	0.177675	0.0782073	0.0679532	0.0896505	0.547094	0.490996	0.603707	12.4094	10.6895	14.3269	0.437991	0.437991	0.437991
91.tree	tree	bd		1.16321	1.1161	1.21179	0.573564	0.522682	0.626939	0			0.573564			0.238239	0.238239	0.238239
91.tree	tree	bdct		0.949911	0.907284	0.992785	0.233577	0.199962	0.270761	0.497472	0.449863	0.545566	15.9691	14.0725	18.0897	0.238239	0.238239	0.238239
91.tree	tree	real	870	0.9004231075396728			0.10134052199835829			0.4830523112222533			13.849320600834794			0.238239424645619		
92.tree	tree	bdct		0.561109	0.52829	0.595422	0.193683	0.168845	0.22038	0.701695	0.646875	0.754714	16.7993	14.8713	18.9609	0.576049	0.576049	0.576049
92.tree	tree	real	813	0.5401545135339016			0.05709324610142678			0.733839212065435			15.162980834603204			0.5760490323785673		
92.tree	tree	bd		0.66943	0.634181	0.706599	0.397879	0.363772	0.434104	0			0.397879			0.576049	0.576049	0.576049
93.tree	tree	bdct		0.675336	0.64241	0.709645	0.177892	0.155089	0.202683	0.591895	0.546232	0.637329	27.6809	24.7835	30.8398	0.430109	0.430109	0.430109
93.tree	tree	bd		0.81755	0.782463	0.85376	0.391573	0.358008	0.426845	0			0.391573			0.430109	0.430109	0.430109
